feature,importance
seq_iat_01,0.19983364917436716
seq_iat_02,0.16515719570896828
entropy,0.1461324362043757
seq_iat_04,0.0771654135191243
seq_iat_03,0.07345490059753276
seq_size_02,0.06309675065651957
seq_size_04,0.05199141016585977
seq_size_01,0.0338494347985725
seq_iat_05,0.02534756133176734
seq_iat_06,0.024553570989056132
seq_size_03,0.016905882654153655
seq_dir_07,0.016334176802992918
seq_dir_01,0.011996700840969982
seq_dir_02,0.01058573929068002
seq_dir_06,0.0078505367502785
seq_size_05,0.007033884538955773
seq_dir_03,0.006334802567541743
seq_dir_09,0.0063302163712229045
seq_dir_08,0.006042199959912487
seq_dir_04,0.0049619222639329195
seq_size_06,0.004329142773939381
seq_size_07,0.0037452294664483423
seq_iat_07,0.0035902443572491836
seq_dir_05,0.003219244661608445
seq_dir_00,0.0030472766140906505
seq_dir_11,0.0029624566110001667
seq_dir_10,0.0028182381986793896
seq_dir_13,0.002781518707839068
seq_dir_12,0.002667188490892313
seq_dir_14,0.0026614727165558743
seq_iat_08,0.0021159397051879977
seq_size_08,0.0017994074474496264
seq_iat_09,0.0015094154655113797
seq_size_00,0.0013114336466081347
seq_size_09,0.001097342653873076
seq_iat_11,0.0008218660662471581
seq_iat_13,0.0007550146206655715
seq_iat_10,0.0007186163712341722
seq_iat_12,0.0006222131987475912
seq_size_10,0.0005545634400752548
seq_iat_14,0.0005196719366899223
seq_size_12,0.0003836391940288378
seq_size_11,0.00036127350357662794
seq_size_13,0.00035532433920427796
seq_size_14,0.0002938806258132965
seq_iat_00,0.0
